Time (Minutes),Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,1,1,2,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0
0.5,3,2,2,1,3,4,3,0,3,3,3,0,1,1,0,2,1,0,2,3
0.75,3,3,3,2,3,4,4,0,3,3,3,1,1,1,0,2,2,0,2,3
1,3,4,4,4,4,4,4,2,3,3,4,3,2,2,0,2,2,1,2,3
1.25,3,6,4,4,4,4,8,3,3,3,4,3,4,2,0,2,2,1,2,4
1.5,4,7,4,4,4,4,8,3,3,3,4,4,4,2,1,3,2,2,2,4
1.75,4,7,6,5,4,4,8,4,3,3,5,4,4,2,1,3,2,2,2,4
2,4,7,6,6,4,4,8,4,3,3,5,4,5,2,1,4,4,3,2,4
2.5,5,7,6,6,5,4,8,4,4,4,6,5,5,2,1,4,4,3,3,4
3,5,7,6,6,5,4,8,5,4,4,6,5,5,2,1,4,5,3,3,5
3.5,5,7,6,6,5,4,8,5,4,4,6,5,5,3,1,4,5,4,3,5
4,5,7,6,7,5,4,8,5,4,4,6,5,5,3,1,5,5,4,3,5
4.5,5,7,6,7,5,4,8,5,5,4,6,5,6,4,2,5,5,4,3,7
5,5,7,6,8,5,5,8,6,5,4,6,5,6,4,2,5,5,4,3,7
6,5,7,6,8,5,5,8,6,6,4,6,5,6,4,2,5,5,5,4,8
7,5,7,6,8,6,6,8,7,6,4,6,5,6,4,2,5,6,5,4,8
8,6,7,6,8,6,6,9,7,6,4,6,6,6,5,2,6,6,5,5,8
9,6,7,6,8,6,6,9,7,7,6,6,6,6,5,2,6,7,5,6,8
10,7,7,6,8,6,6,9,7,7,6,6,6,6,6,2,6,7,5,6,8
12,7,7,6,8,6,6,9,7,7,8,6,7,6,6,2,7,7,5,7,8
14,8,7,6,8,6,6,,7,7,8,6,7,7,7,2,8,7,6,7,8
16,8,7,6,8,6,6,,7,7,8,7,7,7,7,2,8,7,6,7,8
18,8,7,6,8,7,6,,7,8,8,7,7,7,7,2,8,7,6,7,8
20,8,7,9,9,7,6,,7,8,8,7,8,7,7,2,8,7,6,7,8
25,8,,9,9,7,6,,8,8,8,8,8,7,7,2,8,8,7,7,9
30,,,9,9,7,6,,,8,8,,8,7,7,3,,8,7,8,10
35,,,,9,7,,,,8,8,,8,7,7,4,,8,7,8,
40,,,,9,7,,,,8,9,,,,7,4,,,7,8,
45,,,,9,7,,,,8,,,,,7,4,,,7,,
50,,,,9,,,,,,,,,,,5,,,7,,
